Câu hỏi,Mong muốn bot trả lời
Tôi cần mang theo những gì cho cuộc hẹn với bác sĩ?,"Quý vị vui lòng mang theo: \n 
1. Thẻ bảo hiểm y tế, nếu có \n
2. Chứng minh thư hoặc hộ chiếu hoặc thẻ học sinh, giấy khai sinh(với trẻ nhỏ dưới 6 tuổi) hoặc các giấy tờ tùy  thân tương đương.  \n
3. Giấy chuyển tuyến từ các cơ sở y tế hoặc từ bác sĩ của quý vị, giấy hẹn khám lại, nếu có \n 
4. Đơn thuốc hoặc các thuốc đang dùng, nếu có. \n 
5. Các kết quả xét nghiệm, chụp chiếu (trong vòng 6 tháng), nếu có. \n "
Tôi có thể đặt hẹn khám như thế nào?,Vui lòng đăng nhập /đăng kí để thực hiện đặt lịch hẹn với bác sĩ
"Nếu tôi muốn thay đổi hoặc hủy lịch hẹn, tôi phải làm gì?",Quý vị vui lòng thông báo trước cho chúng tôi ít nhất một ngày trước ngày hẹn để các bệnh nhân khác có được lịch hẹn sớm hơn
Tôi sẽ gặp bác sĩ khám nào?,Quý vị có quyền lựa chọn bác sĩ nếu bác sĩ đó có lịch khám trống
Tôi sẽ mất thời gian bao lâu?,"Quá trình khám bệnh của quý vị thông thường sẽ kéo dài trong khoảng 1-3 tiếng, tùy thuộc vào tình trạng bệnh, số lượng chỉ định cận lâm sàng và số lượng bệnh nhân khám trong ngày."
Giá các dịch vụ khám và chỉ định xét nghiệm là bao nhiêu?,Bệnh nhân có bảo hiểm y tế và có giấy chuyển đúng tuyến đều được hưởng bảo hiểm y tế như quy định. Chi tiết vui lòng liên hệ hotline để gặp nhân viên tư vấn
Xin chào,"Xin chào, tôi là trợ lý ảo. Tôi có thể giúp gì cho bạn?"
Hello,"Xin chào, tôi là trợ lý ảo. Tôi có thể giúp gì cho bạn?"
Tôi có thể sử dụng hình thức thanh toán nào?,"Khi tiến hành thanh toán, quý vị có thể thanh toán bằng tiền mặt và/hoặc thẻ tín dụng (Master card/Visa card) và/hoặc thẻ ATM của các ngân hàng trong nước."
Tôi có thể đi tới Bệnh Viện mình cơ sở 1 bằng cách nào?,"Bạn có thể đi xe bus, xe máy, oto tới Địa chỉ: "
Quy trình khám như thế nào?,"Đối với Khám bệnh Tự nguyện 1: quý khách sẽ được đội ngũ Hướng dẫn viên của Bệnh viện đưa đi tận nơi làm các chỉ định, vào khám… \n 
B1: Lấy số thứ tự đóng tiền ở quầy tiếp đón. \n 
B2: Đóng tiền khám. \n 
B3: Đo huyết áp. \n 
B4: Phân phòng khám cho bệnh nhân. \n 
B5: Khám và cho chỉ định. \n 
B6: Đóng tiền chỉ định. \n 
B7: Hướng dẫn bệnh nhân thực hiện theo chỉ định. \n 
B8: Làm các chỉ định. \n 
B9: Gặp bác sĩ đọc kết quả và lấy đơn thuốc. \n 
B10: Lĩnh thuốc và mua thuốc. \n "
Tôi có thể gọi ai nếu tôi cần sự hỗ trợ?,Quý vị có thể goi vào số điện thoại (84)-0968679292 hoặc 0243.9420046 từ 6h30-17h00 vào thứ 2- thứ 7 hoặc gửi email đến địa chỉ kbtunguyen.bvt@gmail.com
"Bệnh viện có khám vào thứ 7, chủ nhật không?","Bệnh viện  tổ chức khám/ cấp cứu 24/24h, vào tất cả các ngày trong tuần."
Bác sĩ làm việc đến mấy giờ thì nghỉ? Có làm cả trưa không?,"Bệnh viện tổ chức khám/ cấp cứu 24/24h, vào tất cả các ngày trong tuần, quý khách vui lòng đăng nhập và đặt lịch hẹn, để chúng tôi chuẩn bị đón tiếp chu đáo nhất"
Tôi có thể đặt lịch khám trước được không?,"Có, để đặt lịch khám, quý khách vui lòng đăng nhập và đặt lịch hẹn, để chúng tôi chuẩn bị đón tiếp chu đáo nhất"
Bệnh viện có tiêm chủng vào cuối tuần không?,Phòng khám và tư vấn tiêm chủng làm việc từ 7h30 đến 16h30 tất cả các ngày trong tuần
Thủ tục để con tôi có thể khám BHYT là gì?,"Để được hưởng chế độ khám chữa bệnh theo BHYT, anh/chị cần chuẩn bị những giấy tờ sau: \n 
1, Sổ y bạ \n 
2, Giấy huyển tuyến hợp lệ \n 
3, Thẻ BHYT hoặc App VssID/Giấy khai sinh/ Chứng sinh/… \n "
"	Tôi cần mang theo những giấy tờ gì trước khi đi khám?","anh/chị cần mang theo: \n
1. Sổ y bạ (nếu có)  \n
2. Thẻ bảo hiểm y tế (nếu có) \n
3. Thẻ BHYT/App VssID/ Giấy khai sinh với trẻ dưới 6 tuổi/Giấy chứng sinh với trẻ dưới 60 ngày tuổi (nếu có) \n
4. Giấy chuyển tuyến hợp lệ (nếu có) \n
5. Đơn thuốc hoặc các thuốc đang dùng (nếu có) \n
6. Các kết quả xét nghiệm, chụp chiếu (nếu có) \n
7. Các giấy tờ liên quan khác \n"
